Estación SIMAJ,Fecha,Hora,O3,NO,NO2,NOX,SO2,CO,PM10,PM2.5,TMPI,TMP,RH,WS,WD,PP,RS,PBA,UV,UVI
Aguilas,01/01/21,0,0.004, , , ,0.0016,1.528, , ,23,12.2,62.8,1.12,168.51,0,,,,
Aguilas,01/01/21,1,0.003, , , ,0,0, , ,23,12.4,61.3,2.62,65.69,0,,,,
Aguilas,01/01/21,2,0, , , ,0.0029,1.683, , ,23,11.9,63.3,1.02,174.88,0,,,,
Aguilas,01/01/21,3,0, , , ,0.0021,1.387, , ,23,11.4,66.2,1.05,314.18,0,,,,
Aguilas,01/01/21,4,0.002, , , ,0.0025,1.207, , ,23,10.9,68.2,1.46,274.03,0,,,,
Aguilas,01/01/21,5,0.003, , , ,0.0019,1.305, , ,23,10.1,72.2,1.13,276.64,0,,,,
Aguilas,01/01/21,6,0.005, , , ,0.0017,1.029, , ,23,9.6,74,1.37,297.26,0,,,,
Aguilas,01/01/21,7,0.004, , , ,0.0014,1.148, , ,22.9,9.2,76.9,1.04,305.52,0,,,,
Aguilas,01/01/21,8,0.012, , , ,0.0017,0.834, , ,22.9,11.6,70.1,1.81,195.57,0,,,,
Aguilas,01/01/21,9,0.025, , , ,0.0015,0.423, , ,22.7,15,58.2,2.97,64.95,0,,,,
Aguilas,01/01/21,10,0.033, , , ,0.0028,0.544, , ,22.7,17.1,48.8,3.09,87.91,0,,,,
Aguilas,01/01/21,11,0.045, , , ,0.0025,0.59, , ,22.5,19.9,35.1,3.17,73.98,0,,,,
Aguilas,01/01/21,12,0.056, , , ,0.0017,0.529, , ,22.3,22.8,26,2.71,149.37,0,,,,
Aguilas,01/01/21,13,0.043, , , ,0.001,0.315, , ,22.4,25.3,16.9,6.37,201.49,0,,,,
Aguilas,01/01/21,14,0.042, , , ,0.0005,0.235, , ,22.4,25.9,11.5,11.1,215.45,0,,,,
Aguilas,01/01/21,15,0.043, , , ,0.0005,0.236, , ,22.4,26,10.7,12.29,209.51,0,,,,
Aguilas,01/01/21,16,0.042, , , ,0.0008,0.23, , ,22.5,25.8,11.2,10.68,233.05,0,,,,
Aguilas,01/01/21,17,0.041, , , ,0.0006,0.212, , ,22.5,23.9,14.3,8.54,253.07,0,,,,
Aguilas,01/01/21,18,0.037, , , ,0.0008,0.28, , ,22.7,21.4,21.9,6.32,262.92,0,,,,
Aguilas,01/01/21,19,0.028, , , ,0.0011,0.415, , ,22.9,19.4,33.1,5.55,246.37,0,,,,
Aguilas,01/01/21,20,0.021, , , ,0.0012,0.562, , ,22.9,17.9,38.4,2.49,235.99,0,,,,
Aguilas,01/01/21,21,0.029, , , ,0.0012,0.44, , ,22.8,16.9,42.9,4.74,275.6,0,,,,
Aguilas,01/01/21,22,0.03, , , ,0.0013,0.358, , ,22.9,16.3,45.7,7.43,244.25,0,,,,
Aguilas,01/01/21,23,0.033, , , ,0.0013,0.246, , ,22.9,16.8,43.9,7.68,220.89,0,,,,
Aguilas,02/01/21,0,0.032,0,0,0,0.0012,0.349, , ,22.8,15.9,47.2,5.37,227.35,0,,,,
Aguilas,02/01/21,1,0.021,0,0,0,0,0, , ,23,14,55.5,1.86,172.66,0,,,,
Aguilas,02/01/21,2,0.012,0.001,0.019,0.02,0.0006,0.568, , ,23,12.1,64,1.17,189.21,0,,,,
Aguilas,02/01/21,3,0.012,0,0,0,0.0005,0.515, , ,23,11.3,65.6,1.42,253.24,0,,,,
Aguilas,02/01/21,4,0.013,0.001,0.015,0.016,0.0004,0.505, , ,23,10.4,62.2,1.57,275.85,0,,,,
Aguilas,02/01/21,5,0.008,0.002,0.017,0.019,0.0006,0.593, , ,23,9.8,64.2,1.64,303.09,0,,,,
Aguilas,02/01/21,6,0.004,0.009,0.026,0.034,0.0008,0.636, , ,23,9.1,65.9,2.06,264.85,0,,,,
Aguilas,02/01/21,7,0.002,0.015,0.029,0.044,0.0011,0.943, , ,23,8.7,70.7,1.93,234.26,0,,,,
Aguilas,02/01/21,8,0.007,0.021,0.029,0.051,0.0019,0.998, , ,23,11.6,64.9,0.72,289.92,0,,,,
Aguilas,02/01/21,9,0.017,0.009,0.029,0.038,0.0027,0.79, , ,22.8,15.6,50.5,1.55,126.06,0,,,,
Aguilas,02/01/21,10,0.022,0.009,0.036,0.045,0.0017,0.974, , ,22.8,18,43,2.86,101.86,0,,,,
Aguilas,02/01/21,11,0.03,0.008,0.045,0.053,0.0015,0.972, , ,22.5,20.2,36,3.12,89.24,0,,,,
Aguilas,02/01/21,12,0.046,0.003,0.038,0.041,0.0012,0.912, , ,22.3,22.6,29.2,2.48,168.67,0,,,,
Aguilas,02/01/21,13,0.052,0.002,0.031,0.034,0.0012,0.809, , ,22.3,25.1,19.9,2.71,144.93,0,,,,
Aguilas,02/01/21,14,0.049,0.002,0.022,0.024,0.0007,0.631, , ,22.4,27.1,13.8,3.78,159.12,0,,,,
Aguilas,02/01/21,15,0.055,0.001,0.016,0.017,0.0006,0.609, , ,22.4,27.7,14.9,3.58,147.6,0,,,,
Aguilas,02/01/21,16,0.054,0,0,0,0.001,0.48, , ,22.4,27.7,11.6,3.62,203.22,0,,,,
Aguilas,02/01/21,17,0.046,0,0,0,0.0006,0.414, , ,22.4,27.2,11.5,3.02,272.2,0,,,,
Aguilas,02/01/21,18,0.032,0,0,0,0.0007,0.781, , ,22.6,23.9,21,2.88,268.53,0,,,,
Aguilas,02/01/21,19,0.021,0.002,0.028,0.03,0.0007,0.946, , ,22.9,20.5,28,3.03,258.26,0,,,,
Aguilas,02/01/21,20,0.008,0.003,0.039,0.042,0.0009,1.19, , ,22.9,18.1,31.4,2.83,244.62,0,,,,
Aguilas,02/01/21,21,0.004,0.005,0.04,0.045,0.0012,1.202, , ,22.9,16.6,32.1,3.35,241.33,0,,,,
Aguilas,02/01/21,22,0.011,0.004,0.035,0.04,0.001,1.077, , ,22.9,16.2,30,3.24,229.88,0,,,,
Aguilas,02/01/21,23,0.011,0.001,0.029,0.03,0.0014,0.856, , ,23,15.6,33,2.94,262.9,0,,,,
Aguilas,03/01/21,0,0.006,0.012,0.034,0.046,0.0012,1.03, , ,23.1,14.8,37.5,1.88,163.01,0,,,,
Aguilas,03/01/21,1,0.001,0,0,0,0,0, , ,23,13.8,40.1,2.35,67.7,0.084,,,,
Aguilas,03/01/21,2,0,0.034,0.04,0.073,0.0016,1.285, , ,23.1,13.8,40.6,1.81,134.68,0,,,,
Aguilas,03/01/21,3,0,0.02,0.039,0.059,0.0019,1.088, , ,23.1,13.3,41.6,1.62,138.65,0,,,,
Aguilas,03/01/21,4,0,0.016,0.04,0.056,0.0029,1.019, , ,23.1,12.8,46.1,2.36,191.81,0,,,,
Aguilas,03/01/21,5,0,0.023,0.037,0.06,0.002,1.138, , ,23.1,11.8,52.2,1.81,239.58,0,,,,
Aguilas,03/01/21,6,0,0.023,0.034,0.058,0.0014,0.939, , ,23,10.7,58,2.17,247.57,0,,,,
Aguilas,03/01/21,7,0.001,0.025,0.032,0.057,0.0017,1.057, , ,23,10,60.5,2.02,263.62,0,,,,
Aguilas,03/01/21,8,0.007,0.017,0.032,0.049,0.0022,1.027, , ,23,12.7,52,1.38,216.26,0,,,,
Aguilas,03/01/21,9,0.022,0.013,0.039,0.051,0.0029,0.943, , ,22.8,16.7,36.5,3.53,50.3,0,,,,
Aguilas,03/01/21,10,0.038,0.002,0.025,0.027,0.0015,0.662, , ,22.8,19.2,31.4,2.97,87.46,0,,,,
Aguilas,03/01/21,11,0.046,0.002,0.027,0.029,0.0024,0.703, , ,22.5,21.8,27.6,3.97,82.69,0,,,,
Aguilas,03/01/21,12,0.049,0.001,0.019,0.021,0.0011,0.478, , ,22.3,24.5,21.6,3.46,108.29,0,,,,
Aguilas,03/01/21,13,0.06,0.001,0.018,0.019,0.001,0.531, , ,22.3,25.7,19.6,3.2,126.73,0,,,,
Aguilas,03/01/21,14,0.06,0.001,0.015,0.016,0.0007,0.444, , ,22.4,27.7,15.2,3.59,176.32,0,,,,
Aguilas,03/01/21,15,0.045,0,0,0,0.0004,0.256, , ,22.5,28.4,12.1,3.9,245.81,0,,,,
Aguilas,03/01/21,16,0.043,0,0,0,0.0003,0.289, , ,22.5,28.4,12.4,3.82,227.67,0,,,,
Aguilas,03/01/21,17,0.039,0,0,0,0.0005,0.294, , ,22.5,26.5,14,4.05,276.23,0,,,,
Aguilas,03/01/21,18,0.031,0,0,0,0.0001,0.448, , ,22.6,24,18.9,3.81,293.7,0,,,,
Aguilas,03/01/21,19,0.02,0,0,0,0.0007,0.735, , ,22.9,20.9,25.3,1.53,300.09,0,,,,
Aguilas,03/01/21,20,0.003,0.045,0.042,0.087,0.0021,1.81, , ,22.9,18.8,29.7,1.34,198.87,0,,,,
Aguilas,03/01/21,21,0.002,0.036,0.043,0.078,0.0016,1.578, , ,22.9,17.5,33,2.71,250.24,0,,,,
Aguilas,03/01/21,22,0.015,0.007,0.029,0.035,0.0006,0.71, , ,22.9,16.9,33.1,3.57,257.2,0.32,,,,
Aguilas,03/01/21,23,0.015,0.002,0.024,0.026,0.0007,0.642, , ,22.9,17.1,34.6,3.07,245.9,0.311,,,,
Aguilas,04/01/21,0,0.014,0.003,0.023,0.026,0.0005,0.556, , ,22.9,16.9,41.1,2.89,262.5,0,,,,
Aguilas,04/01/21,1,0.006,0,0,0,0,0, , ,22.9,16.1,46.5,1.16,202.35,0,,,,
Aguilas,04/01/21,2,0.004,0.011,0.029,0.04,0.0009,0.679, , ,22.9,15.1,50.7,1.62,166.47,0,,,,
Aguilas,04/01/21,3,0.004,0.009,0.028,0.037,0.0007,0.778, , ,23,14.3,52.8,1.34,151.15,0,,,,
Aguilas,04/01/21,4,0,0.031,0.033,0.063,0.0022,1.211, , ,23,13.4,52.1,2.16,64.77,0,,,,
Aguilas,04/01/21,5,0,0.053,0.035,0.089,0.0023,1.472, , ,23,12.6,56.5,2.15,197.29,0,,,,
Aguilas,04/01/21,6,0,0.098,0.035,0.134,0.0081,1.684, , ,23,11.9,61.3,3.51,237.57,0,,,,
Aguilas,04/01/21,7,0,0.089,0.033,0.122,0.0041,1.886, , ,22.9,11.6,64,1.82,254.03,0,,,,
Aguilas,04/01/21,8,0.004,0.066,0.034,0.099,0.0018,1.826, , ,22.9,13.9,56.3,0.74,267.37,0,,,,
Aguilas,04/01/21,9,0.009,0.05,0.045,0.095,0.0033,1.796, , ,22.8,17.8,40,2.13,84.17,0,,,,
Aguilas,04/01/21,10,0.017,0.04,0.069,0.109,0.0059,2.111, , ,22.7,20.6,32.5,2.75,68.93,0,,,,
Aguilas,04/01/21,11,0.034,0.015,0.078,0.094,0.0046,1.667, , ,22.3,22.9,28.1,2.8,94.01,0,,,,
Aguilas,04/01/21,12,0.046,0.004,0.048,0.052,0.0022,1.097, , ,22.3,24.9,25.6,2.37,173.7,0,,,,
Aguilas,04/01/21,13,0.053,0.003,0.043,0.046,0.0017,1.101, , ,22.3,26.2,24,3.16,137.91,0,,,,
Aguilas,04/01/21,14,0.059,0.002,0.033,0.034,0.0014,0.812, , ,22.4,27.2,21.7,3.19,188.04,0,,,,
Aguilas,04/01/21,15,0.064,0.001,0.021,0.022,0.0011,0.691, , ,22.3,28,21.1,3.29,161.63,0,,,,
Aguilas,04/01/21,16,0.072,0.001,0.021,0.022,0.0011,0.706, , ,22.3,28,21.7,2.62,110.3,0,,,,
Aguilas,04/01/21,17,0.077,0.001,0.026,0.027,0.0016,0.748, , ,22.3,26.7,23.8,3.14,160.93,0,,,,
Aguilas,04/01/21,18,0.033,0.001,0.029,0.03,0.0005,1.003, , ,22.4,24.3,26.6,3.5,288.65,0,,,,
Aguilas,04/01/21,19,0.022,0.001,0.034,0.035,0.0009,1.004, , ,22.8,21.9,30.5,2.84,299.38,0,,,,
Aguilas,04/01/21,20,0.004,0.009,0.047,0.056,0.0011,1.412, , ,22.9,19.8,33.3,1.37,271.74,0,,,,
Aguilas,04/01/21,21,0.002,0.019,0.047,0.066,0.0011,1.317, , ,22.9,18.4,34.5,2.66,262.94,0,,,,
Aguilas,04/01/21,22,0.021,0.002,0.022,0.025,0.0005,0.584, , ,22.9,19.4,40.6,4.79,279.42,0,,,,
Aguilas,04/01/21,23,0.023,0,0,0,0.0005,0.493, , ,22.9,19.4,41.9,4.24,283.69,0,,,,
Aguilas,05/01/21,0,0.013,0.004,0.019,0.023,0.0006,0.72, , ,22.8,18,48.6,2.19,228.11,0,,,,
Aguilas,05/01/21,1,0.005,0,0,0,0,0, , ,22.8,16.6,52.2,1.99,108.68,0,,,,
Aguilas,05/01/21,2,0,0.018,0.035,0.053,0.0024,1.091, , ,22.8,15.3,55.4,0.76,132.94,0,,,,
Aguilas,05/01/21,3,0.002,0.015,0.032,0.048,0.0016,0.799, , ,22.9,14.5,63,2.9,246.58,0,,,,
Aguilas,05/01/21,4,0.004,0.003,0.023,0.027,0.0004,0.471, , ,22.9,14,69.2,2.15,257,0,,,,
Aguilas,05/01/21,5,0.002,0.013,0.024,0.037,0.0005,0.687, , ,22.9,13.1,71.7,0.74,242.78,0,,,,
Aguilas,05/01/21,6,0,0.04,0.027,0.067,0.0012,1.048, , ,22.9,12.9,73.8,1.36,259.18,0,,,,
Aguilas,05/01/21,7,0.001,0.098,0.027,0.125,0.0024,1.933, , ,22.9,12.3,78,0.35,275.26,0,,,,
Aguilas,05/01/21,8,0.002,0.068,0.03,0.098,0.0024,1.74, , ,22.7,14.5,68.9,1.71,246.39,0,,,,
Aguilas,05/01/21,9,0.008,0.058,0.046,0.104,0.0043,1.948, , ,22.7,17.9,50.5,1.9,159.47,0,,,,
Aguilas,05/01/21,10,0.021,0.036,0.074,0.111,0.0052,1.91, , ,22.6,20.6,36.3,2.5,117.87,0,,,,
Aguilas,05/01/21,11,0.029,0.013,0.067,0.08,0.0023,1.179, , ,22.3,23.2,30.9,3.16,112.62,0,,,,
Aguilas,05/01/21,12,0.043,0.004,0.039,0.042,0.0017,0.618, , ,22.3,25,32,4.02,120.51,0,,,,
Aguilas,05/01/21,13,0.054,0.002,0.025,0.026,0.0019,0.832, , ,22.3,26.9,29.3,3.23,175.69,0,,,,
Aguilas,05/01/21,14,0.057,0.001,0.023,0.024,0.0022,0.974, , ,22.3,28,24,4.15,169.18,0,,,,
Aguilas,05/01/21,15,0.053,0.002,0.025,0.027,0.0018,0.929, , ,22.3,28.4,22.9,4.39,177.95,0,,,,
Aguilas,05/01/21,16,0.043,0.001,0.014,0.015,0.0007,0.699, , ,22.4,28.4,21.9,5.77,216.27,0,,,,
Aguilas,05/01/21,17,0.044,0,0,0,0.0006,0.689, , ,22.4,27.3,24.1,5.14,256.19,0,,,,
Aguilas,05/01/21,18,0.02,0.002,0.02,0.022,0.0005,1.004, , ,22.4,25.2,25.7,4.17,263.72,0,,,,
Aguilas,05/01/21,19,0.004,0.012,0.034,0.046,0.0005,1.201, , ,22.8,22.5,26,3.38,247.76,0,,,,
Aguilas,05/01/21,20,0.019,0.002,0.017,0.019,0.0003,0.678, , ,22.9,22.4,30.7,5.28,238.41,0,,,,
Aguilas,05/01/21,21,0.017,0,0,0,0.0002,0.694, , ,22.9,21.2,39,5.56,263.16,0,,,,
Aguilas,05/01/21,22,0.018,0,0,0,0.0005,0.733, , ,22.9,20.3,45.5,4.14,269.47,0,,,,
Aguilas,05/01/21,23,0.016,0.002,0.014,0.016,0.0004,0.736, , ,22.8,19.5,51,3.52,280.56,0,,,,
Aguilas,06/01/21,0,0.017,0.001,0.01,0.011,0.0007,0.45, , ,22.7,18.7,55.3,3.29,297.8,0,,,,
Aguilas,06/01/21,1,0.003,0,0,0,0,0, , ,22.7,17.1,60.8,1.47,135.4,0,,,,
Aguilas,06/01/21,2,0,0.007,0.025,0.033,0.0013,0.745, , ,22.7,15.7,67.6,1.12,225.96,0,,,,
Aguilas,06/01/21,3,0,0.021,0.025,0.046,0.0015,0.715, , ,22.8,14.8,72.1,1.07,190.8,0,,,,
Aguilas,06/01/21,4,0,0.022,0.026,0.048,0.0019,0.736, , ,22.8,14.4,74.7,1.07,178.9,0,,,,
Aguilas,06/01/21,5,0,0.057,0.026,0.083,0.0025,1.126, , ,22.9,13.6,78.9,1.46,214.84,0,,,,
Aguilas,06/01/21,6,0,0.1,0.026,0.126,0.0035,1.026, , ,22.9,13,82.4,1.95,265.68,0,,,,
Aguilas,06/01/21,7,0,0.089,0.024,0.113,0.0036,1.777, , ,22.9,12.7,83.8,1.32,260.54,0,,,,
Aguilas,06/01/21,8,0.001,0.153,0.032,0.185,0.0055,2.654, , ,22.8,15.4,74,0.37,160.62,0,,,,
Aguilas,06/01/21,9,0.01,0.061,0.039,0.1,0.0043,1.078, , ,22.7,19.2,60.6,2.32,106.9,0,,,,
Aguilas,06/01/21,10,0.015,0.027,0.049,0.076,0.005,1.051, , ,22.7,21.5,51,2.34,148.96,0,,,,
Aguilas,06/01/21,11,0.024,0.017,0.058,0.075,0.0036,0.981, , ,22.5,22.8,44.3,2.25,111.43,0,,,,
Aguilas,06/01/21,12,0.037,0.004,0.038,0.042,0.0023,0.543, , ,22.2,24.8,35.9,3.41,165.23,0,,,,
Aguilas,06/01/21,13,0.028,0.001,0.011,0.012,0.0009,0.146, , ,22.2,26.5,23,7.08,255.91,0,,,,
Aguilas,06/01/21,14,0.029,0.001,0.008,0.009,0.0007,0.238, , ,22.3,26.8,24.5,8.28,220.51,0,,,,
Aguilas,06/01/21,15,0.028,0.002,0.011,0.013,0.0012,0.299, , ,22.3,27.3,22.5,8.36,231.33,0,,,,
Aguilas,06/01/21,16,0.029,0.001,0.007,0.008,0.0011,0.094, , ,22.4,26.9,19.9,7.97,265.19,0,,,,
Aguilas,06/01/21,17,0.027,0,0,0,0.0007,0.314, , ,22.4,26,25.6,6.02,274.46,0,,,,
Aguilas,06/01/21,18,0.016,0.002,0.016,0.018,0.001,0.46, , ,22.4,24.2,30.4,3.92,282.74,0,,,,
Aguilas,06/01/21,19,0.002,0.016,0.035,0.051,0.0018,1.008, , ,22.7,21.8,37.1,3.72,273.65,0,,,,
Aguilas,06/01/21,20,0.007,0.007,0.031,0.038,0.0015,0.638, , ,22.8,20.5,41,4.48,255.74,0,,,,
Aguilas,06/01/21,21,0.012,0.002,0.019,0.021,0.0013,0.304, , ,22.8,20,45,4.58,260.94,0,,,,
Aguilas,06/01/21,22,0.011,0.001,0.016,0.017,0.0011,0.212, , ,22.7,19.7,47.3,3.57,264.84,0,,,,
Aguilas,06/01/21,23,0.009,0.001,0.016,0.018,0.0011,0.266, , ,22.7,19.3,50,2.54,309.98,0,,,,
Aguilas,07/01/21,0,0.004,0.01,0.021,0.03,0.0013,0.745, , ,22.7,19,51.9,1.08,153.73,0,,,,
Aguilas,07/01/21,1,0.006,0,0,0,0,0, , ,22.7,18.9,51.2,1.83,235.84,0,,,,
Aguilas,07/01/21,2,0.001,0.009,0.025,0.035,0.0014,0.697, , ,22.6,18,55.9,0.98,269.77,0,,,,
Aguilas,07/01/21,3,0.002,0.006,0.022,0.028,0.0012,0.623, , ,22.6,16.9,59.1,1.24,285.47,0,,,,
Aguilas,07/01/21,4,0.003,0.008,0.018,0.026,0.0011,0.65, , ,22.6,16.2,60.8,1.79,231.36,0,,,,
Aguilas,07/01/21,5,0,0.041,0.022,0.063,0.0023,1.092, , ,22.6,15.7,66,1.2,190.41,0,,,,
Aguilas,07/01/21,6,0,0.042,0.021,0.064,0.0022,0.934, , ,22.7,15.5,65.2,1.11,239.23,0,,,,
Aguilas,07/01/21,7,0,0.08,0.023,0.103,0.0032,1.728, , ,22.7,15.4,65.3,0.54,187.5,0,,,,
Aguilas,07/01/21,8,0.002,0.076,0.031,0.107,0.0034,1.556, , ,22.7,16,45.4,1.55,128.18,0,,,,
Aguilas,07/01/21,9,0.008,0.039,0.037,0.076,0.0036,1.291, , ,22.7,17.9,35.1,1.92,132.94,0,,,,
Aguilas,07/01/21,10,0.02,0.022,0.044,0.066,0.005,1.119, , ,22.7,20.8,25.5,2.26,92.64,0,,,,
Aguilas,07/01/21,11,0.032,0.005,0.036,0.042,0.0033,0.861, , ,22.4,22.8,20.5,2.76,124.39,0,,,,
Aguilas,07/01/21,12,0.045,0.002,0.029,0.031,0.0027,0.766, , ,22.3,24.5,17.7,3.78,163.34,0,,,,
Aguilas,07/01/21,13,0.051,0.002,0.022,0.024,0.0017,0.635, , ,22.3,26,16.7,3.34,176.69,0,,,,
Aguilas,07/01/21,14,0.048,0.001,0.012,0.014,0.0012,0.484, , ,22.3,26.8,15.9,3.43,145.28,0,,,,
Aguilas,07/01/21,15,0.046,0.001,0.012,0.013,0.0013,0.447, , ,22.3,26.6,17.4,3.54,133.83,0,,,,
Aguilas,07/01/21,16,0.049,0,0,0,0.0015,0.464, , ,22.3,26.3,18.3,3.36,207.73,0,,,,
Aguilas,07/01/21,17,0.047,0,0,0,0.0019,0.493, , ,22.3,25.8,19.7,3.99,242.07,0,,,,
Aguilas,07/01/21,18,0.033,0,0,0,0.0015,0.785, , ,22.5,23.9,22.7,1.79,282.09,0,,,,
Aguilas,07/01/21,19,0.005,0.007,0.053,0.06,0.0019,1.492, , ,22.8,22.3,28.9,2.54,276.47,0,,,,
Aguilas,07/01/21,20,0.008,0.005,0.05,0.055,0.0015,1.215, , ,22.9,20.9,31.1,2.68,266.42,0,,,,
Aguilas,07/01/21,21,0.006,0.006,0.049,0.055,0.0018,1.198, , ,22.9,20.5,31.3,1.76,208.7,0,,,,
Aguilas,07/01/21,22,0.005,0.004,0.047,0.051,0.0015,1.017, , ,22.9,20,32.5,2.42,266.51,0,,,,
Aguilas,07/01/21,23,0.01,0.002,0.029,0.032,0.0014,0.994, , ,22.9,19.2,33.8,3.77,252.36,0,,,,
Aguilas,08/01/21,0,0.019, , , ,0.0012,0.213, , ,22.8,18.6,35.5,3.72,252.52,0.352,,,,
Aguilas,08/01/21,1,0.007, , , ,0,0, , ,22.8,17.8,37.9,1.06,196.37,0,,,,
Aguilas,08/01/21,2,0, , , ,0.0013,0.385, , ,22.8,17.4,40.5,0.84,214.2,0,,,,
Aguilas,08/01/21,3,0, , , ,0.0013,0.645, , ,22.8,17.1,42.6,0.7,198.35,0,,,,
Aguilas,08/01/21,4,0, , , ,0.0016,0.639, , ,22.8,16.6,45.8,0.85,241.26,0,,,,
Aguilas,08/01/21,5,0, , , ,0.0021,0.552, , ,22.8,16.3,48.9,1.38,254.1,0,,,,
Aguilas,08/01/21,6,0, , , ,0.0017,0.783, , ,22.7,15.6,54.1,1.48,270.96,0,,,,
Aguilas,08/01/21,7,0, , , ,0.002,1.256, , ,22.7,14.9,58.5,1.29,250.24,0,,,,
Aguilas,08/01/21,8,0.002, , , ,0.0034,1.76, , ,22.7,15.8,58.4,1.07,242.29,0,,,,
Aguilas,08/01/21,9,0.007, , , ,0.0065,1.569, , ,22.7,19.5,43.1,1.24,188.69,0,,,,
Aguilas,08/01/21,10,0.018, , , ,0.0101,1.873, , ,22.5,22.5,33.7,2.42,93.71,0,,,,
Aguilas,08/01/21,11,0.034, , , ,0.006,1.371, , ,22.3,24.8,28.1,2.59,119.29,0,,,,
Aguilas,08/01/21,12,0.043, , , ,0.0039,0.955, , ,22.2,26.3,25.6,3.3,94.6,0,,,,
Aguilas,08/01/21,13,0.047, , , ,0.0021,0.574, , ,22.2,27.3,24.1,3.83,147.42,0,,,,
Aguilas,08/01/21,14,0.064, , , ,0.0021,0.367, , ,22.3,27.4,24.3,3.64,273.54,0,,,,
Aguilas,08/01/21,15,0.054, , , ,0.0014,0.318, , ,22.3,27.5,23.8,2.84,218.73,0,,,,
Aguilas,08/01/21,16,0.042, , , ,0.0009,0.22, , ,22.3,26.5,25.3,3.39,274.68,0,,,,
Aguilas,08/01/21,17,0.035, , , ,0.001,0.185, , ,22.4,26.4,23.8,4.97,273.43,0,,,,
Aguilas,08/01/21,18,0.021, , , ,0.0009,0.415, , ,22.4,24.6,27.4,3.96,297.08,0,,,,
Aguilas,08/01/21,19,0.003, , , ,0.0012,0.978, , ,22.8,22,35.4,2.67,265.83,0,,,,
Aguilas,08/01/21,20,0.004, , , ,0.0016,1.045, , ,22.8,20.2,39.9,1.56,243.55,0,,,,
Aguilas,08/01/21,21,0.005, , , ,0.0017,0.945, , ,22.8,19.6,42.7,3.17,238.91,0.324,,,,
Aguilas,08/01/21,22,0.011, , , ,0.0011,0.329, , ,22.8,19.3,54.4,4.09,266.4,0,,,,
Aguilas,08/01/21,23,0.012, , , ,0.0008,0.242, , ,22.7,19,58.8,5.56,253.94,0,,,,
Aguilas,09/01/21,0,0.013, , , ,0.0006,0.398, , ,22.7,18.5,60.9,3.74,250.14,0,,,,
Aguilas,09/01/21,1,0.013, , , ,0,0, , ,22.7,17.8,65,4.33,282.63,0,,,,
Aguilas,09/01/21,2,0.009, , , ,0.0003,0.485, , ,22.7,17.4,66.3,1.68,211.76,0,,,,
Aguilas,09/01/21,3,0, , , ,0.0017,0.533, , ,22.7,16.7,70.1,2.6,221.98,0,,,,
Aguilas,09/01/21,4,0.001, , , ,0.0014,0.494, , ,22.6,16.7,68.8,2.35,221.67,0,,,,
Aguilas,09/01/21,5,0, , , ,0.0031,0.614, , ,22.6,16.8,69.7,1.28,255.92,0,,,,
Aguilas,09/01/21,6,0.001, , , ,0.0015,0.753, , ,22.7,17,68,1.27,212.85,0,,,,
Aguilas,09/01/21,7,0, , , ,0.0033,1.419, , ,22.6,16.7,70.9,2.11,151.88,0,,,,
Aguilas,09/01/21,8,0.002, , , ,0.0077,1.109, , ,22.6,17.7,69.6,2.08,208.16,0,,,,
Aguilas,09/01/21,9,0.008, , , ,0.0041,1.004, , ,22.7,20.6,56.6,1.99,129.37,0,,,,
Aguilas,09/01/21,10,0.019, , , ,0.0027,0.706, , ,22.5,23.1,46.6,2.37,180.72,0,,,,
Aguilas,09/01/21,11,0.027, , , ,0.0015,0.466, , ,22.2,24.7,39.1,3.94,177.62,0,,,,
Aguilas,09/01/21,12,0.026, , , ,0.0006,0.492, , ,22.2,26,32.7,6.28,226.99,0,,,,
Aguilas,09/01/21,13,0.029, , , ,0.0008,0.633, , ,22.2,25.9,34.4,8.04,215.26,0,,,,
Aguilas,09/01/21,14,0.03, , , ,0.0006,0.485, , ,22.2,25.2,35.8,8.56,228.41,0,,,,
Aguilas,09/01/21,15,0.026, , , ,0.0005,0.465, , ,22.3,25.5,34.8,10.43,218.67,0,,,,
Aguilas,09/01/21,16,0.027, , , ,0.0008,0.36, , ,22.2,25.2,34.5,12.01,224.9,0,,,,
Aguilas,09/01/21,17,0.026, , , ,0.0005,0.296, , ,22.3,24.5,37.3,10.86,219.93,0,,,,
Aguilas,09/01/21,18,0.023, , , ,0.0006,0.24, , ,22.5,22.9,42.8,11.11,217.85,0,,,,
Aguilas,09/01/21,19,0.022, , , ,0.0008,0.297, , ,22.7,21.1,54.7,10.69,219.19,0,,,,
Aguilas,09/01/21,20,0.02, , , ,0.0006,0.299, , ,22.7,19.8,63.5,6.99,224.11,0,,,,
Aguilas,09/01/21,21,0.019, , , ,0.0005,0.25, , ,22.7,19.1,66.2,7.19,239.53,0,,,,
Aguilas,09/01/21,22,0.018, , , ,0.0005,0.244, , ,22.7,18.8,69.1,6.92,234.36,0,,,,
Aguilas,09/01/21,23,0.018, , , ,0,0.216, , ,22.7,18.6,69.3,7.84,222.04,0,,,,
Aguilas,10/01/21,0,0.013, , , ,0.0003,0.426, , ,22.7,17.6,73.3,2.7,251.63,0,,,,
Aguilas,10/01/21,1,0.013, , , ,0,0, , ,22.6,16.9,75.9,3.11,262,0,,,,
Aguilas,10/01/21,2,0.015, , , ,0.0004,0.346, , ,22.7,17,75.1,4.17,246.8,0,,,,
